College Code,College Name,,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST,PickMyCareer Rank,Branch Code
1928,Government College of Engineering (Formerly Institute of Road and Transport Technology) Vasavi College Post Erode District 638316,,ELECTRICAL AND ELECTRONICS ENGINEERING,175.5,167,173,166,147,161.065,154.5,68,7
1942,PSG Institute of Technology and Applied Research Avinashi Road Neelambur Coimbatore 641062,,ELECTRICAL AND ELECTRONICS ENGINEERING,191,189.5,190,189,167.5,154,153.5,69,7
1951,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,ELECTRICAL AND ELECTRONICS ENGINEERING,198,197.5,195,195.5,189,176.5,171,70,7
1955,Sri Sivasubramaniya Nadar College of Engineering (Autonomous) Kalavakkam Old Mahabalipuram Road (OMR) Chengalpattu District 603110,,ELECTRICAL AND ELECTRONICS ENGINEERING,196,194.5,191,193,178,163,149,71,7
1958,Government College of Engineering (Autonomous) Karuppur Salem District 636011,,ELECTRICAL AND ELECTRONICS ENGINEERING,186.5,183,167.5,180.5,167.5,147.5,166,72,7
1991,Coimbatore Institute of Technology (Autonomous) Civil Aerodrome Post Coimbatore District 641014,,ELECTRONICS AND COMMUNICATION ENGINEERING,196.5,195.48,193.5,194.5,178.5,172,150.5,73,8
2056,Saveetha Engineering College (Autonomous) Thandalam Sriperumpudur Taluk Kancheepuram District 602105,,ELECTRONICS AND COMMUNICATION ENGINEERING,168.5,161.5,157.5,157,133.5,108,109,74,8
2089,Government College of Engineering Tirunelveli District 627007,,ELECTRONICS AND COMMUNICATION ENGINEERING,185.5,179.5,181.5,176,159.5,131.5,122.5,75,8
2103,St. Joseph's College of Engineering (Autonomous) Old Mahabalipuram Road (OMR) Chennai 600 119,,ELECTRONICS AND COMMUNICATION ENGINEERING,178.5,172,167,162.5,129.5,107,120.5,76,8
2143,Chennai Institute of Technology (Autonomous) Puduper Village Nandambakkam Post Kundrathur Chennai 600069,,ELECTRONICS AND COMMUNICATION ENGINEERING,192.5,190.5,189,188.5,167.5,133,153,77,8
2160,Thanthai Periyar Government Institute of Technology Bagayam Vellore District 632002,,ELECTRONICS AND COMMUNICATION ENGINEERING,173,162.5,163.5,162,138,117.5,119,78,8
2208,Loyola ICAM College of Engineering and Technology Loyola College Campus Nungambakkam Chennai 600034,,ELECTRONICS AND COMMUNICATION ENGINEERING,185.5,180,182.5,177.5,150.5,170.5,104,79,8
2240,A V S Engineering College Military Road Ammapet Salem District 636003,,ELECTRONICS AND COMMUNICATION ENGINEERING,132,100.5,96,116.5,102,91,109,80,8
2263,KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous) Kannampalayam Coimbatore District 641402,,ELECTRONICS AND COMMUNICATION ENGINEERING,157,149.5,140,143.5,110.5,114,109.5,81,8
2273,Kathir College of Engineering Neelambur Avinashi Road Coimbatore District 641062,,ELECTRONICS AND COMMUNICATION ENGINEERING,134.5,126,113,110,103,119.5,100.5,82,8
2288,University College of Engineering Tiruchirappalli (Bharathidasan Institute of Technology) Tiruchirappalli District 620024,,ELECTRONICS AND COMMUNICATION ENGINEERING,168,159.5,161,153,144.5,108.5,108.5,83,8
2293,Mahendra College of Engineering Attur Road Minnampalli Valapady Salem District 636106,,ELECTRONICS AND COMMUNICATION ENGINEERING,128,86,105,109,82.5,98,108,84,8
2303,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,,ELECTRONICS AND COMMUNICATION ENGINEERING,198.5,197.5,197,196.5,190.5,178.5,168.5,85,8
2324,Karpagam College of Engineering (Autonomous) Othakkalmandapam Coimbatore District 641032,,ELECTRONICS AND COMMUNICATION ENGINEERING,182.5,174.095,156.5,167.5,126.5,141.5,159,86,8
2331,Kumaraguru College of Technology (Autonomous) Chinnavedampatti Post Coimbatore District 641006,,ELECTRONICS AND COMMUNICATION ENGINEERING,192,190,186,187.5,161,139.5,170.5,87,8
2336,Sri Krishna College of Technology (Autonomous) Kovaipudur Post Coimbatore District 641042,,ELECTRONICS AND COMMUNICATION ENGINEERING,181,175,173,172,140,130,125,88,8
2337,Sri Krishna College of Enginering and Technology (Autonomous) Kuniamuthur Coimbatore District 641008,,ELECTRONICS AND COMMUNICATION ENGINEERING,189.5,186.5,183.5,182.5,153,134.5,117,89,8
2345,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,ELECTRONICS AND COMMUNICATION ENGINEERING,200,199.5,198,198.5,195,186,180.5,90,8
2346,R V S College of Engineering and Technology Kannampalayam Sulur Coimbatore District 641402,,ELECTRONICS AND COMMUNICATION ENGINEERING,180.5,148.5,126.5,136.5,94,115,144.5,91,8
2351,Sree Sakthi Engineering College Bettathapuram Bilichi Village Karamadai Coimbatore District 641104,,ELECTRONICS AND COMMUNICATION ENGINEERING,138,116.5,92,108.5,108,126.5,131.5,92,8
2365,Karpagam Institute of Technology Seerapalayam Village L&T By pass Road Coimbatore District 641021,,ELECTRONICS AND COMMUNICATION ENGINEERING,168,159,151.5,149.5,109,125,124.5,93,8
2372,Dr. Mahalingam College of Engineering and Technology (Autonomous) Mackinaickenpatti Post Pollachi Taluk Coimbatore District 642003,,ELECTRONICS AND COMMUNICATION ENGINEERING,173,169,159.5,158,116.5,116.5,120.5,94,8
2378,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,,ELECTRONICS AND COMMUNICATION ENGINEERING,158,128.5,137.5,140.5,134,103,132.5,95,8
